SMILES,pIC50,ChEMBL ID
CCCC[C@@H](CC(=O)NO)S(=O)(=O)c1ccccc1,8.045757491,CHEMBL2092878
COC(=O)Nc1ccc2c(c1)sc1cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc12,8.045757491,CHEMBL562373
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1cc(N3CCOC3=O)ccc12)C(=O)O,8.036212173,CHEMBL563177
NC(=O)NCCC[C@@H](NS(=O)(=O)c1ccc(OCc2cc(Br)cc(Br)c2)cc1)C(=O)NO,8.026872146,CHEMBL2431028
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1cc(NC(=O)OCCF)ccc12)C(=O)O,8,CHEMBL492904
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(NC(=O)Oc3ccccc3)cc12)C(=O)O,7.991399828,CHEMBL523357
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(NS(C)(=O)=O)cc12)C(=O)O,7.987162775,CHEMBL473611
CC(C)[C@@H](NS(=O)(=O)c1ccc2oc3cc(NS(C)(=O)=O)ccc3c2c1)C(=O)O,7.958607315,CHEMBL475230
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(NC(=O)Oc3ccc(Br)cc3)cc12)C(=O)O,7.958607315,CHEMBL4207732
COC(=O)Nc1ccc2c(c1)oc1cc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)ccc12,7.954677021,CHEMBL550562
CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)CCCNS(=O)(=O)c1ccc(Oc2ccccc2)cc1)C(=O)N1CCC[C@H]1C(N)=O,7.920818754,CHEMBL5186594
O=C(O)C[C@@H](NC(=O)c1cc(-c2ccc(-c3ccncc3)cc2)c(F)s1)c1ccccc1,7.886056648,CHEMBL1644431
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(-n3cncn3)cc12)C(=O)O,7.886056648,CHEMBL1935278
Cc1cc(COc2ccc(S(=O)(=O)N(C)C3(C(=O)NO)CN(C(=O)C(C)C)C3)cc2)c2ccccc2n1,7.886056648,CHEMBL4215407
CC(C)[C@@H](NS(=O)(=O)c1ccc(-c2nc(-c3ccc(Cn4cc(CCCF)nn4)s3)no2)cc1)C(=O)O,7.886056648,CHEMBL5429762
CCCCC(CC(=O)NO)S(=O)(=O)c1ccc2ccccc2c1,7.886056648,CHEMBL78001
CCCOC(=O)Nc1ccc2c(c1)oc1ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc12,7.853871964,CHEMBL474457
CCCCC(CC(=O)NO)S(=O)(=O)C1CCCCC1,7.853871964,CHEMBL77258
Cc1ccc(OC(=O)Nc2ccc3oc4cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc4c3c2)cc1,7.853871964,CHEMBL523670
O=C(N[C@@H](C(=O)O)c1ccccc1)c1cc(-c2ccc(-c3ccncc3)cc2)cs1,7.853871964,CHEMBL179285
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(NC(=O)c3cc4ccccc4o3)cc2)cc1)C(=O)O,7.853871964,CHEMBL187523
O=C(O)C[C@@H](NC(=O)c1cc(-c2ccc(-c3ccncc3)cc2)cs1)c1ccccc1,7.853871964,CHEMBL508461
Cc1ccc(-c2noc(-c3ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc3)n2)s1,7.853871964,CHEMBL5436337
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(-n3cccn3)cc12)C(=O)O,7.823908741,CHEMBL1935279
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2cccc(CNC(=O)c3nc4ccccc4c(=O)[nH]3)c2)cc1)C(=O)O,7.795880017,CHEMBL3971135
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1cc(NC(=O)Oc3ccc(F)cc3)ccc12)C(=O)O,7.795880017,CHEMBL492905
COc1ccc(CC[C@@H](NC(=O)[C@H](COCc2ccccc2)NC(C)=O)C(=O)N[C@H](Cc2ccccc2)C(=O)NO)cc1,7.787812396,CHEMBL4741966
CC(=O)N[C@@H](COCc1ccccc1)C(=O)N[C@H](CCc1ccc(C(F)(F)F)cc1)C(=O)N[C@H](Cc1ccccc1)C(=O)NO,7.777283529,CHEMBL4748728
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1cc(N)ccc12)C(=O)O,7.769551079,CHEMBL553918
COC(=O)N1CC2(CC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CC=C(c2ccccc2)CC1,7.769551079,CHEMBL434567
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(-c3noc(C(C)(C)C)n3)cc12)C(=O)O,7.769551079,CHEMBL1935296
CC[C@H](C)[C@@H](C(=O)N1CCC[C@H]1C(N)=O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)CCCNS(=O)(=O)c1ccc(Oc2ccccc2)cc1,7.744727495,CHEMBL5191820
O=C(NCc1ccc(-c2ccccc2)cc1)c1occc(=O)c1O,7.744727495,CHEMBL5274715
Cc1cc(=O)c(O)c(C(=O)NCc2ccc(-c3ccccc3)cc2)o1,7.744727495,CHEMBL255374
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1cc(NC(=O)NCCc3cccs3)ccc12)C(=O)O,7.744727495,CHEMBL552362
O=C(NCc1ccc(-c2ccccc2)cc1)c1cccc(=O)n1O,7.744727495,CHEMBL2435340
CC(=O)N[C@@H]1[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](COC(C)=O)O[C@H]1NC(=S)NCCN([C@@H](C(=O)O)C(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,7.744727495,CHEMBL4291062
